date,domesticPrice,fobBangkok,fobHcmLowest,fobHcmHighest
2021-03-02,13.7,485,,
2021-03-09,13.8,485,,
2021-03-16,13.8,485,,
2021-03-23,13.8,485,,
2021-03-30,13.9,485,,
2021-04-06,13.9,485,,
2021-04-13,13.9,485,,
2021-04-20,13.9,485,,
2021-04-27,13.95,485,,
2021-05-04,14,485,,
2021-05-11,14,485,,
2021-05-18,14,485,,
2021-05-25,14,485,,
2021-06-01,14,485,,
2021-06-08,14,485,,
2021-06-15,14,485,,
2021-06-22,14,485,,
2021-06-29,14,485,,
2021-07-06,14,485,,
2021-07-13,14.1,485,,
2021-07-20,14.1,485,,
2021-07-27,14.1,485,,
2021-08-03,14.1,480,,
2021-08-10,14.1,480,,
2021-08-17,14.1,480,,
2021-08-24,14.1,480,,
2021-08-31,14.1,480,,
2021-09-07,14.1,480,,
2021-09-14,14.2,480,,
2021-09-21,14.3,480,,
2021-09-28,14.3,480,,
2021-10-05,14.4,480,,
2021-10-12,14.4,480,,
2021-10-19,14.5,480,,
2021-10-26,14.5,480,,
2021-11-02,14.6,480,,
2021-11-09,14.7,485,,
2021-11-16,14.9,490,,
2021-11-23,15,490,,
2021-11-30,15.1,490,,
2021-11-30,15.1,490,,
2021-12-07,15.1,490,,
2021-12-14,15.1,490,,
2021-12-21,15.1,490,,
2021-12-28,15.1,490,,
2022-01-04,15.1,490,520,540
2022-01-11,15.1,490,,
2022-01-18,15.1,490,,
2022-01-25,15.1,490,,
2022-02-01,15.1,490,,
2022-02-08,15.1,490,,
2022-02-15,15.1,495,,
2022-02-22,15.1,495,,
2022-03-01,15.1,495,,
2022-03-08,15.15,495,,
2022-03-15,15.2,495,,
2022-03-22,15.25,495,,
2022-03-29,15.35,495,,
2022-04-05,15.5,500,530,560
2022-04-12,15.6,500,,
2022-04-19,15.65,505,,
2022-04-26,16.1,510,,
2022-05-03,16.5,515,,
2022-05-10,16.8,520,,
2022-05-17,17,525,,
2022-05-24,17.3,535,,
2022-05-31,17.35,540,,
2022-06-07,17.4,540,,
2022-06-14,17.5,540,,
2022-06-21,17.5,540,,
2022-06-28,17.5,540,,
2022-07-05,17.5,535,540,580
2022-07-12,17.5,530,,
2022-07-19,17.5,525,,
2022-07-26,17.4,520,,
2022-08-02,17.3,520,,
2022-08-09,17.2,520,,
2022-08-16,17.2,520,,
2022-08-23,17.2,520,,
2022-08-30,17.2,515,,
2022-09-06,17.1,510,,
2022-09-13,17.1,510,,
2022-09-20,17.1,510,,
2022-09-27,17,500,,
2022-10-04,17,500,550,590
2022-10-11,17,500,,
2022-10-18,16.9,495,,
2022-10-25,16.9,495,,
2022-11-01,16.85,490,,
2022-11-08,16.8,485,,
2022-11-15,16.75,485,,
2022-11-22,16.75,485,,
2022-11-29,16.75,490,,
2022-12-06,16.7,495,,
2022-12-13,16.7,495,,
2022-12-20,16.6,495,,
2022-12-27,16.5,495,,
2023-01-03,16.5,495,560,580
2023-01-10,16.5,495,,
2023-01-17,16.5,500,,
2023-01-24,16.5,510,,
2023-01-31,16.6,520,,
2023-02-07,16.7,525,,
2023-02-14,16.9,525,,
2023-02-21,17.1,525,,
2023-02-28,17.15,525,,
2023-03-07,17.4,530,,
2023-03-14,17.5,535,,
2023-03-21,17.7,545,,
2023-03-28,17.8,550,,
2023-04-04,17.8,550,570,590
2023-04-11,17.8,550,,
2023-04-18,18,550,,
2023-04-25,18.2,555,,
2023-05-02,18.3,560,,
2023-05-09,18.3,560,,
2023-05-16,18.4,570,,
2023-05-23,18.4,570,,
2023-05-30,18.4,570,,
2023-06-06,18.4,570,,
2023-06-13,18.4,570,,
2023-06-20,18.4,570,,
2023-06-27,18.5,570,,
2023-07-04,18.5,570,560,590
2023-07-11,18.5,570,,
2023-07-18,18.5,570,,
2023-07-25,18.5,570,,
2023-08-08,18.5,570,,
2023-08-15,18.5,570,,
2023-08-22,18.5,570,,
2023-08-29,18.5,570,,
2023-09-05,18.6,575,,
2023-09-12,18.6,575,,
2023-09-19,18.6,575,,
2023-09-26,18.6,575,,
2023-10-03,18.6,575,560,590
2023-10-10,18.7,580,,
2023-10-17,18.7,580,,
2023-10-24,18.7,580,,
2023-10-31,18.8,580,,
2023-11-07,18.9,580,,
2023-11-14,19,580,,
2023-11-21,19.1,580,,
2023-11-28,19.3,590,,
2023-12-05,19.3,590,,
2023-12-12,19.3,590,,
2023-12-19,19.3,590,,
2023-12-26,19.3,590,,
2024-01-09,19.15,585,480,520
2024-01-16,19.05,580,,
2024-01-23,19.05,580,,
2024-01-30,19.05,580,,
2024-02-06,19.05,580,,
2024-02-13,19.05,580,,
2024-02-20,19.05,580,,
2024-02-27,19.1,580,,
2024-03-05,19.1,580,,
2024-03-12,19.1,580,,
2024-03-19,19.1,580,,
2024-03-26,19.1,580,,
2024-04-02,19.1,580,460,500
2024-04-09,19,575,,
2024-04-16,19,575,,
2024-04-23,19,575,,
2024-04-30,18.85,565,,
2024-05-07,18.85,565,,
2024-05-14,18.7,555,,
2024-05-21,18.7,555,,
2024-05-28,18.7,555,,
2024-06-04,18.7,555,,
2024-06-11,18.7,555,,
2024-06-18,18.5,545,,
2024-06-25,18.3,535,,
2024-07-02,18.3,535,440,480
2024-07-09,18.2,530,,
2024-07-16,18.1,525,,
2024-07-23,18,525,,
2024-07-30,17.9,525,,
2024-08-06,17.9,525,,
2024-08-13,17.75,525,,
2024-08-20,17.75,535,,
2024-08-27,17.5,535,,
2024-09-03,17.4,535,,
2024-09-10,17.2,525,,
2024-09-17,17,520,,
2024-09-24,16.75,515,,
2024-10-01,16.5,510,450,520
2024-10-08,16.25,500,,
2024-10-15,15.9,490,,
2024-10-22,15.7,490,,
2024-10-29,15.5,490,,
2024-11-05,15.2,490,,
2024-11-12,14.9,475,,
2024-11-19,14.7,465,,
2024-11-26,14.5,465,,
2024-12-03,14.5,465,,
2024-12-10,14.3,450,,
2024-12-17,14.3,450,,
2024-12-24,14.2,440,,
2025-01-07,13.9,420,,
2025-01-14,13.9,420,,
2025-01-21,14,425,,
2025-01-28,14,430,,
2025-02-04,14,430,,
2025-02-11,14,430,,
2025-02-18,14,430,,
2025-02-25,14,435,,
2025-03-04,14,435,,
2025-03-11,13.95,430,,
2025-03-18,13.85,430,,
2025-03-25,13.75,425,,
2025-04-01,13.55,415,,
2025-04-08,13.35,415,,
2025-04-22,13.15,415,,
2025-04-29,13.15,420,,
2025-05-06,13.05,425,,
2025-05-13,13.05,425,,
2025-05-20,13.15,425,,
2025-05-27,13.3,435,,
2025-06-10,13.25,430,,
2025-06-17,13.4,440,,
2025-06-24,13.5,440,,
2025-07-01,13.4,440,,
2025-07-08,13.5,445,,
2025-07-15,13.5,445,,
2025-07-22,13.65,450,,
2025-07-29,13.8,455,,
