,Monthly Activities Plan

,SK plant : The Root Purchasing of November 2026  (Total Operation Day 30 days)
,Root rolling Forecast, Plan Original LE0.2026,Latest View,Root purchase forecasting,Remarks
,,(18/12/25),,Most likely
,Root purchase expectation ,,,33150,,,,,,,,Number of Days,30
,Starch content forecasting,,,0.259821267,,,,,,,,Volume Plan,33150
,Root price forecasting,,,3.0359728507,,,,,,,,Farmer Daily supply,300
,PPDS. Forecasting,,,11.6848512291
,Expectation of root source purchasing.,,,Farmer % of supply,Volume/month,Starch (%),Price(B./kg),PPDS (B./kg),Root expense amount (K baht)
,Farmer,,,0.2714932127,9000,25.8,2.73,10.5813953488,24570,,,F : 25% ,2.7,,Corn vs Rice harvesting
,Broker,,,0.7285067873,24150,26.05,3.15,12.0921305182,76072.5,,,B : 25% ,3.1
,Total ,,,1,33150,25.9821266968,3.0359728507,11.6848512291,100642.5

,Expectation of Co-products,,,Portion to root grinding,Volume (tons),Unit price (baht),Total revenue (baht)
,Wash skin,,,0.02,663,0.2,132600
,Soil skin,,,0.061,2022.15,0.03,60664.5
,Pulp with 79% moisture content,,,0.2,6630,0.282,1869659.9999999998
,,,,,,Total


,Activities,Response,,Target,,,        Budget,,Remarks
,Farmers-broker visit & ,Buyer,,Continuous root supply through year.,,,15000,, - Farmer-Broker 
,meeting expense for ,,,,,,,,   visit budget 
,Root Sourcing department
,,,,Total,,,15000












,หมายเหตุ : กรณีไม่มีการเซ็นอนุมัติในแบบฟอร์ม ให้แนบเป็นอีเมลล์อนุมัติแทนได้
