,Day operation,,,27,28,31,24,31,30,30,31,31,31,30,26
,Average Regular Root Grinding/day in period no Grind Waxy,,,1340,1200,1210,1450,1450,1400,1400,1400,1300,1200,1200,1200
,,,,Actual,Actual,Actual,Actual+Plan,Plan,Plan,Plan,Plan,Plan,Plan,Plan,Plan
,Quarter,,,Q1,,,Q2,,,Q3,,,Q4
,Month,,UOM,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,TOTAL,,LE0 2026,2.2026,03.2026 vs LE0 2026,03.2026 vs 2.2026
,Regular Root Grinding Volume,,MT,29398,30446.73,33527,26978,39250,39800,41800,41700,37200,34300,33150,27600,415149.73,,445200,411365.73,-30050.27,3784
,Average Regular Root Grinding ,,MT,1088.8148148148,1087.3832142857,1081.5161290323,1124.0833333333,1266.1290322581,1326.6666666667,1348.3870967742,1345.1612903226,1240,1106.4516129032,1105,1061.5384615385,1181.7609709941,,1271.0071017195,1172.4798330013,-89.2461307254,9.2811379928
,Regular PPDS,,THB/kg,10.41,10.98,12,14,13.8,12.1666666667,12.94,12.6,12.3,11.95,11.73,11.54,,,,,0,0
,Waxy Root Grinding Volume,,MT,2720,2729,2114,4000,6528,1225,900,900,1500,3000,3000,3000,31616,,23876,31502,7740,114
,GLUCOSE - Sales,,MT,5234,5504,5620,4154,4367,6202,5756,5505,5587,5699,5405,5250,64283,,66285.5,63615,-2002.5,668
,HMS - Sales,,MT,570,600,870,650,596,499,504,503,559,708,799,804,7662,,8220.3,7891,-558.3,-229
,Total Glucose & HMS - Sales,,MT,5804,6104,6490,4804,4963,6701,6260,6008,6146,6407,6204,6054,71945,,74505.8,71506,-2560.8,439
,Stock Glucose Ending,,MT,973,856,713,829,966,965,1105,1097,1051,944,1040,1286,,,,,0,0
,REGULAR STARCH - Production,,MT,2523.9,2550.37,2647.0,1885,2859.8968708897,1706.832098775,2539.0427458172,3537.5990275629,2850.6087372663,2276.5969118714,2418.0643928756,958.1187217924,28753.0295068504,,33406.026879369,27390.397018343,-4652.9973725186,1362.6324885074
,REGULAR STARCH - in-house total Sales,,MT,2029.13,4453.24,2012,2280,4733,2767,2315,3002,2536,2007,2240,1742,32116.37,,36370.34,30146.98,-4253.97,1969.39
,REGULAR STARCH - 3P Export Sales,,MT,1094,1940,537,716,2233,1602,596,520,579,581,500,543,11441,,15676.8,10390,-4235.8,1051
,REGULAR STARCH - 3P Domestic Sales,,MT,189,200,272,185,216,195,172,172,175,206,217,200,2399,,2431.58,2355,-32.58,44
,REGULAR STARCH - Sales Network Optimize,,MT,0,0,0,0,0,0,250,270,250,250,300,250,1570,,3100,1570,-1530,0
,REGULAR STARCH - Inco Sales (Export),,MT,746.13,1004.24,548,1379,1264,477,888,1085,896,817,985,749,10838.37,,9001.96,10150.98,1836.41,687.39
,REGULAR STARCH - ISD Jumbo,,MT,0,1309,655,0,1020,493,409,955,636,153,238,0,5868,,6160,5681,-292,187
,REGULAR STARCH - END Inv (in-house),,MT,5015.77,3893.9,4309.9,3914.9,2041.7968708897,981.6289696647,1205.6717154819,1741.2707430448,2055.8794803111,2325.4763921825,2503.540785058,1719.6595068504
,On hold stock,,MT,485.46,1201,156.6,156.6,156.6,0,0,0,0,0,0,0
,REGULAR STARCH - SALEABLE INVENTORY,,MT,3976.83,2660.9,4146.787,3758.3,1885.1968708897,981.6289696647,1205.6717154819,1741.2707430448,2055.8794803111,2325.4763921825,2503.540785058,1719.6595068504
