,Monthly Activities Plan

,SK plant : The Root Purchasing of December 2026  (Total Operation Day 26 days)
,Root rolling Forecast, Plan Original LE0.2026,Latest View,Root purchase forecasting,Remarks
,,(18/12/25),(11/2/2026),Most likely
,Root purchase expectation ,,,27600,,,,,,,,Number of Days,26
,Starch content forecasting,,,0.25,,,,,,,,Volume Plan,27600
,Root price forecasting,,,3.1746376812,,,,,,,,Farmer Daily supply,200
,PPDS. Forecasting,,,12.6985507246
,Expectation of root source purchasing.,,,Farmer % of supply,Volume/month,Starch (%),Price(B./kg),PPDS (B./kg),Root expense amount (K baht)
,Farmer,,,0.1884057971,5200,25,2.85,11.4,14820,,,F : 25% ,2.85
,Broker,,,0.8115942029,22400,25,3.25,13,72800,,,B : 25% ,3.25
,Total ,,,1,27600,25,3.1746376812,12.6985507246,87620

,Expectation of Co-products,,,Portion to root grinding,Volume (tons),Unit price (baht),Total revenue (baht)
,Wash skin,,,,,0.25
,Soil skin,,,,,0.03
,Pulp with 79% moisture content,,,,,0.352
,,,,,,Total


,Activities,Response,,Target,,,        Budget,,Remarks



,,,,Total,,,0












,หมายเหตุ : กรณีไม่มีการเซ็นอนุมัติในแบบฟอร์ม ให้แนบเป็นอีเมลล์อนุมัติแทนได้
