,Monthly Activities Plan

,KSN plant : The Root Purchasing of March 2026 (Total Operation Day 31 days)
,Root rolling Forecast, Plan Original LE0.2026,Latest View,Root purchase forecasting,Remarks
,,(1/12/25),(11/02/26),Most likely
,Root purchase expectation ,21700,20150,20150," - There is high market competition, especially from nearby starch factories.",,,,,,,Number of Days,31
,Starch content forecasting,0.265,0.2618461538,0.265," - ASIA MODIFIED STARCH : 25% , Farmer 2.85 THB/kg and Broker 3.00 THB/kg",,,,,,,Volume Plan/day,650
,Root price forecasting,2.63,2.8946153846,2.8992307692,   (This report references the market price on 22 February 2026.),,,,,,,Volume Plan/montn,20150
,PPDS. Forecasting,9.92,11.0546415981,10.9404934688, - Farmer Volume Plan 350 tons/day. ,,,,,,,Farmer Daily supply,350
,Expectation of root source purchasing.,,,Farmer % of supply,Volume/month,Starch (%),Price(B./kg),PPDS (B./kg),Root expense amount (K baht)
,Farmer,,,0.5384615385,10850,26.5,2.875,10.8490566038,31193.75,,,F : 25% ,2.8
,Broker,,,0.4615384615,9300,26.5,2.9275,11.0471698113,27225.75,,,B : 25% ,2.85
,Total ,,,1,20150,26.5,2.8992307692,10.9404934688,58419.5

,Expectation of Co-products,,,Portion to root grinding,Volume (tons),Unit price (baht),Total revenue (baht)
,Wash skin,,,0.02,403,0.12,48360
,Soil skin,,,0.061,1229.15,0.03,36874.5
,Pulp,,,0.2,4030,0.134,540020
,,,,,,Total


,Activities,Response,,Target,,,        Budget,,Remarks
,Farmers-broker visit & ,Buyer,,Continuous root supply through year.,,, -,, - Farmer-Broker 
,meeting expense for ,,,,,,,,   visit budget 
,Root Sourcing department
,,,,Total,,,0
















,หมายเหตุ : กรณีไม่มีการเซ็นอนุมัติในแบบฟอร์ม ให้แนบเป็นอีเมลล์อนุมัติแทนได้
