2026 Cost projection_LV:26/3/2026
,,,,,LV:26/3/2026,LV:26/3/2026,LV:26/3/2026,LV:26/3/2026,LV:26/3/2026,LV:26/3/2026,LV:26/3/2026,LV:26/3/2026
SK plant,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total/Avg.
,, ,,Stop 8 days
Day operation,27,28,31,22,31,30,30,31,31,31,30,26,348,,Plan
Grinding/day without waxy,1088.8185185185,1087.38,1082.5680645161,819.5186363636,1450,1400,1400,1400,1300,1200,1200,1200,1167.3386494253,,Apr-Dec
"Grinding/month , tons",29398.1,30446.73,33559.61,18029.41,39250,39800,41800,41700,37200,34300,33150,27600,406233.85,,From Planner

"Roots purchased/month , tons",29954.31,30325.58,33527.15,18111.17,39250,41050,41800,41700,37200,34300,33150,27600,407968.21
"Starch content , %",27.0733678793,26.63,24.644386797,21.2817289551,20.9703821656,21,22,22.5044844125,22.8019354839,22.9957725948,24,25,23.2759810771
"Price , THB/kg.",2.8182196819,2.92,2.958350228,3.2865360438,3.1263057325,3.080816078,3.1277511962,3.1165467626,3.0435483871,2.9551020408,3.07760181,3.1746376812,3.0539344802,,,,Actual 2025
"PPDS , THB/kg.",10.4095644638,10.98,12.0041543429,15.4429936154,14.9081962732,14.6705527522,14.2170508917,13.8485588271,13.3477633478,12.8506316917,12.8233408748,12.6985507246,13.1205403119,,,,#REF!
,, 
"Weight starch , kg",8109640.541999999,8074417.18,8262560.527999998,3854370.11,8230875.000000001,8620500,9196000,9384370,8482320,7887549.999999999,7956000,6900000,94958603.36
"Amount , THB",84417826,88684792.5,99185051.84536083,59523013,122707500,126467500,130739999.99999999,129960000,113220000,101359999.99999999,102022499.99999999,87620000.00000001,1245908183.3453608

"Co-products prices , THB/kg",, , 
Pulp (moisture 79%),0.282,0.282,0.3656148361,0.369,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.2775512363
Soil Skin,0.03,0.03,0.03,0.0291587256,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0299298938
Wash Skin,0.2,0.2,0.2473334343,0.25,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2081111195
"Pulp moisture, actual",0.7875,0.7869,0.780034379,0.7780184431

2026 Cost projection_LV:02/4/2026
,,,,,LV:02/4/2026,LV:02/4/2026,LV:02/4/2026,LV:02/4/2026,LV:02/4/2026,LV:02/4/2026,LV:02/4/2026,LV:02/4/2026
KSN plant,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total/Avg.
,,Stop 1 day,Stop 2 days,Stop 8 days
Day operation,28,27,29,22,31,30,31,31,30,31,30,26,346
Grinding/day without waxy,516.3080357143,519.15,507.1854827586,521.3436363636,700,700,700,700,700,700,700,600,635.9869479769
"Grinding/month , tons",14456.625,14016.92,14708.379,11469.56,21700,21000,21700,21700,21000,21700,21000,15600,220051.484

"Roots purchased/month , tons",15610.621,14627.14,14093.328,12056.588,21700,21000,21700,21700,21000,21700,21000,15600,221787.677
Actual starch content,27.4640323405,27.61,25.4309698887,22.2275074839,21.5514285714,21.4964285714,21.995,23.5,24.4042857143,25.2,25.7,27.5,24.3172852205
Actual price,2.9210986834,2.95,2.8933836848,3.2285970915,3.005,3.0014285714,2.9785714286,3.0085714286,2.9985714286,3.0628571429,3.1328571429,3.2166666667,3.0297179453,,,,Actual 2025
PPDS,10.6360881285,10.67,11.3774020318,14.5252322773,13.9433912237,13.9624522346,13.542038775,12.8024316109,12.287069016,12.1541950113,12.1901056142,11.696969697,12.4591125934,,,,#REF!

"Weight starch , kg",4287305.999999999,4037862,3584069.9999999995,2679878.9999999995,4676659.999999999,4514250,4772914.999999999,5099500,5124900,5468400.000000001,5397000.000000001,4290000,53932742
"Amount , THB",45600164.45,43087170.35,40777405.3,38925864.95,65208500,63030000,64634999.99999999,65286000,62969999.99999999,66464000,65789999.99999999,50180000,671954105.05

"Co-products prices, THB/kg",, , 
Pulp,0.134,0.134,0.134,0.134,0.134,0.134,0.134,0.134,0.134,0.134,0.134,0.134,0.134
Soil Skin,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Wash Skin,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
