,Monthly Activities Plan

,SK plant : The Root Purchasing of December 2026  (Total Operation Day 26 days)
,Root rolling Forecast, Plan Original LE0.2026,Latest View,Root purchase forecasting,Remarks
,,(18/12/25),,Most likely
,Root purchase expectation ,,,27600,,,,,,,,Number of Days,26
,Starch content forecasting,,,0.267173913,,,,,,,,Volume Plan,27600
,Root price forecasting,,,3.072826087,,,,,,,,Farmer Daily supply,300
,PPDS. Forecasting,,,11.5012205045
,Expectation of root source purchasing.,,,Farmer % of supply,Volume/month,Starch (%),Price(B./kg),PPDS (B./kg),Root expense amount (K baht)
,Farmer,,,0.2826086957,7800,26,2.75,10.5769230769,21450,,,F : 25% ,2.7
,Broker,,,0.7173913043,19800,27,3.2,11.8518518519,63360,,,B : 25% ,3.1,,Sugar cane
,Total ,,,1,27600,26.7173913043,3.072826087,11.5012205045,84810

,Expectation of Co-products,,,Portion to root grinding,Volume (tons),Unit price (baht),Total revenue (baht)
,Wash skin,,,0.02,552,0.2,110400
,Soil skin,,,0.061,1683.6,0.03,50508.0
,Pulp with 79% moisture content,,,0.2,5520,0.282,1556639.9999999998
,,,,,,Total


,Activities,Response,,Target,,,        Budget,,Remarks
,Farmers-broker visit & ,Buyer,,Continuous root supply through year.,,,15000,, - Farmer-Broker 
,meeting expense for ,,,,,,,,   visit budget 
,Root Sourcing department
,,,,Total,,,15000












,หมายเหตุ : กรณีไม่มีการเซ็นอนุมัติในแบบฟอร์ม ให้แนบเป็นอีเมลล์อนุมัติแทนได้
